CompanyId,FactoryId,AreaId,OrderType,OrderName,OrderCode,ProductName,ProductCode,ProductModel,ProductStandardTime,JobTableName,PlanCount,CompletedCount,NgStepCount,WorkTime,Result,StartTime,EndTime,UserCode,UserName,Information,TorqueData,RotationTimeData,RotationAngleData,TraceData,ScrewSpecData,ProductVersion,BomSetName,BomSetCode,BomSetVersion,ProductInformation,CustomInformation,JobId,CommentData,PartsData
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,1,373,9,2019-06-11 18:46:16.000,2019-06-11 18:52:29.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,2:9:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,2,378,9,2019-06-11 18:46:16.000,2019-06-11 18:59:49.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,2:9:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,1,206,9,2019-06-11 18:59:59.000,2019-06-11 19:03:25.000,Admin,Administrator,,,,,,1:1::98:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,2,276,9,2019-06-11 18:59:59.000,2019-06-11 19:06:26.000,Admin,Administrator,,,,,,1:1::98:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;5:6:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,3,288,9,2019-06-11 18:59:59.000,2019-06-11 19:06:56.000,Admin,Administrator,,,,,,1:1::98:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;5:6:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,1,195,9,2019-06-11 19:12:12.000,2019-06-11 19:15:27.000,Admin,Administrator,,,,,,1:1::98:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,1,66,9,2019-06-11 19:15:45.000,2019-06-11 19:16:51.000,Admin,Administrator,,,,,,1:1::98:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,2,99,9,2019-06-11 19:15:45.000,2019-06-11 19:50:56.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;2:9:2:无评论;5:6:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,3,171,9,2019-06-11 19:15:45.000,2019-06-11 20:03:18.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:,636,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;2:9:2:无评论;5:6:1:无评论;6:7:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,0,0,4,174,9,2019-06-11 19:15:45.000,2019-06-11 20:04:52.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:,63,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;2:9:2:无评论;5:6:1:无评论;6:7:1:无评论,
A,A,ASK-PC-0002,2,,,四方监控屏,444,444,5,青岛四方智能作业台,1,1,4,182,2,2019-06-11 19:15:45.000,2019-06-11 20:05:52.000,Admin,Administrator,,,,,,1:1::98:::1:;4:3::99:::1:;6:7:美工刀::2::1:,63,青岛四方监控屏,211210000439300,V19,,,13-20190611184616-0001,1:1:1:无评论;2:9:1:无评论;2:9:2:无评论;5:6:1:无评论;5:6:2:无评论;6:7:1:无评论;6:7:2:无评论,
